time,ax,ay,az
30:25.9,0.01,0.04,0.04
30:26.0,-0.04,0.02,0
30:26.1,-0.05,0.09,0.22
30:26.2,-0.02,0.13,0.32
30:26.3,-0.01,-0.17,-0.04
30:26.4,0.01,-0.05,0.06
30:26.5,0.14,-0.16,0.12
30:26.6,0.05,-0.15,0.13
30:26.7,0.07,-0.16,0.19
30:26.8,0.4,0.7,0.37
30:26.8,-0.4,0.61,0.18
30:26.9,0.13,-0.33,0.03
30:27.0,-0.14,-0.05,0.05
30:27.1,-0.05,-0.1,0.06
30:27.2,0.11,0.08,0.33
30:27.3,0.3,0.18,0.73
30:27.4,-0.04,0.13,0.06
30:27.5,-0.01,0.15,-0.06
30:27.6,-0.13,-0.28,-0.4
30:27.7,0.02,-0.44,-0.21
30:27.8,-0.12,0.1,0.4
30:27.9,0.09,-0.5,-0.07
30:28.0,-0.1,-0.81,-0.72
30:28.1,0.13,0.11,-0.25
30:28.2,-0.11,-0.03,-0.02
30:28.3,-0.08,-0.05,0.18
30:28.4,-0.31,0.16,0.26
30:28.5,-0.25,0.32,0.45
30:28.6,0.11,0.58,-0.39
30:28.7,-0.19,0.12,-0.32
30:28.8,0.04,-0.64,-0.49
30:28.8,-0.02,-0.45,-0.06
30:28.9,-0.05,0.99,1.05
30:29.0,0.18,0.26,-1.16
30:29.1,-0.36,0.12,-0.56
30:29.2,-0.05,-0.22,0.01
30:29.3,-0.18,-0.15,0.23
30:29.4,0.05,0,0.29
30:29.5,0.1,0.43,0.69
30:29.6,0.05,0.26,-0.28
30:29.7,0.03,0.25,0.01
30:29.8,-0.12,-0.39,-0.56
30:29.9,-0.02,-0.61,-0.24
30:30.0,0.26,0.61,0.43
30:30.1,0.23,-0.41,0.08
30:30.2,-0.33,-0.49,0.24
30:30.3,0.08,-0.13,0.06
30:30.4,-0.06,-0.12,0.1
30:30.5,-0.05,-0.06,0.17
30:30.6,-0.56,0.29,0.16
30:30.7,-0.17,0.19,0.32
30:30.7,0.38,0.5,-0.19
30:30.8,-0.2,-0.21,-0.65
30:30.9,0.12,-0.66,-0.41
30:31.0,0.13,0.02,0.51
30:31.1,0.05,-0.49,0.17
30:31.2,-0.05,0.39,-0.5
30:31.3,0.06,0.21,-0.46
30:31.4,-0.06,-0.13,-0.06
30:31.5,-0.01,-0.06,0.18
30:31.6,-0.43,0.28,0.25
30:31.7,-0.2,0.42,0.55
30:31.8,0.22,0.63,-0.48
30:31.9,-0.1,0.14,-0.31
30:32.0,0.05,-0.7,-0.57
30:32.1,0.02,-0.41,0.1
30:32.2,-0.03,0.9,0.98
30:32.3,0.39,1.25,-0.82
30:32.4,-0.4,0.17,-0.65
30:32.5,0,-0.26,0.07
30:32.6,-0.16,-0.2,0.09
30:32.7,0.14,0.1,0.43
30:32.8,0.17,0.42,0.82
30:32.8,-0.19,0.5,-0.58
30:32.9,0.01,0.28,0.11
30:33.0,-0.11,-0.66,-0.59
30:33.1,-0.03,-0.58,-0.22
30:33.2,0.24,1.22,0.69
30:33.3,0.36,-0.1,-0.29
30:33.4,-0.23,-0.27,0
30:33.5,0.09,-0.22,-0.05
30:33.6,-0.1,-0.16,0.06
30:33.7,-0.03,0.05,0.37
30:33.8,-0.32,0.41,0.47
30:33.9,0.02,0.14,-0.03
30:34.0,0.2,0.36,0.04
30:34.1,-0.15,-0.35,-0.59
30:34.2,0.02,-0.67,-0.31
30:34.3,0.23,0.26,0.94
30:34.3,0.39,-0.36,0.13
30:34.4,-0.26,-0.38,-0.09
30:34.5,0.24,-0.17,-0.03
30:34.6,-0.07,-0.18,-0.06
30:34.7,-0.06,-0.13,0.1
30:34.8,-0.41,0.26,0.26
30:34.9,-0.39,0.36,0.54
30:35.0,0.28,0.64,-0.58
30:35.1,-0.11,0.05,-0.33
30:35.2,0.07,-0.71,-0.54
30:35.3,-0.03,-0.43,0
30:35.4,0.3,1.17,0.96
30:35.5,0.22,0.73,-0.83
30:35.6,-0.47,0.25,-0.51
30:35.7,0.01,-0.2,0.08
30:35.8,-0.12,-0.21,0.2
30:35.9,0.12,0.02,0.38
30:36.0,-0.24,0.36,0.52
30:36.1,-0.19,0.12,-0.08
30:36.2,0.29,0.44,0.02
30:36.2,-0.24,-0.24,-0.55
30:36.3,0.02,-0.66,-0.36
30:36.4,0.04,0.15,0.68
30:36.5,0.28,-0.11,0.13
30:36.6,-0.6,0.47,0.06
30:36.7,0.27,0.11,-0.31
30:36.8,-0.23,-0.05,-0.16
30:36.9,0.07,-0.01,0.01
30:37.0,0.03,-0.08,-0.1
30:37.1,-0.11,0.37,-0.14
30:37.2,-0.31,0.19,-0.08
30:37.3,0.09,-0.03,0.07
30:37.4,-0.06,0.04,0.01
30:37.5,-0.03,-0.01,0.02
30:37.6,0.06,-0.03,0.02
30:37.7,0,-0.01,0
30:37.8,-0.01,-0.01,0.03
30:37.9,-0.03,-0.01,0.02